file,tags
# Skill Issue Harness Engineering for Coding Agents,harness-engineering multi-agent agent-skills ux-ui-design
# Writing a good CLAUDE.md,claude-md spec-driven-dev
# a brief history of ralph,context-engineering spec-driven-dev agent-skills ux-ui-design productivity
(Recorded during Xian Goh's falling workshop during the,spec-driven-dev health
142 JavaScript Text Effects,ux-ui-design
15 steps to launch your own startup,agent-skills ux-ui-design startup
2.1 Write a PRD,spec-driven-dev
25 Claude Code Tips from 11 Months of Intense Use,spec-driven-dev claude-code-ops productivity
3 New Claude Code Repos Will 100x Your Next Project,token-efficiency claude-code-ops agent-skills observability ux-ui-design
4 Claude Code slash commands I use daily that make me more productive,claude-code-ops productivity
4 Inbox Zero Best Practices,productivity
5 Things I Learned About Being a Technical Lead,spec-driven-dev
5 ways of using Claude Code remotely - and when to use which,spec-driven-dev claude-code-ops
6 Best Spec-Driven Development Tools for AI Coding in 2026,spec-driven-dev ux-ui-design
7 Claude Code Design Skills That Follow a Real Design Process,claude-code-ops agent-skills ux-ui-design
7 Rules for Creating Gorgeous UI,agent-skills ux-ui-design
A Comprehensive Overview of Large Language Models,llm-fundamentals ux-ui-design
A Live Workshop That Teaches You How to Build A Future-Proof PKM System,ux-ui-design productivity pkm-obsidian
A framework for Spec-Driven Development.,spec-driven-dev agent-skills productivity
A roadmap for becoming a top 2% agentic engineer in 2026,multi-agent ux-ui-design
A wild month in the cyber industry,observability ux-ui-design
AI Sorcery Demo of a Claude Code Plugin,claude-code-ops agent-skills ux-ui-design
AIDesigner,ux-ui-design
AI's trillion-dollar opportunity Context graphs,context-engineering ux-ui-design startup
Adapter and Facade Patterns,ux-ui-design software-patterns
"After self-hosting LLMs for a year, I realized that models are not the real bottleneck",llm-fundamentals local-llm non-content
Agent Harness Engineering,harness-engineering non-content
Agentic AI Coding Best Practice Patterns for Speed with Quality,code-quality ux-ui-design software-patterns
"Agents on the Canvas in tldraw — Steve Ruiz, tldraw",agent-skills ux-ui-design
Amazon.com,non-content
An app that uses artificial intelligence to make money from trading has been released to the public - here's how much we managed to earn.,
Andrej Karpathy From Vibe Coding to Agentic Engineering,ux-ui-design
Andrej Karpathy's Math Proves Agent Skills Will Fail. Here's What to Build Instead.,harness-engineering multi-agent spec-driven-dev agent-skills ux-ui-design productivity
"Anthropic's Boris Cherny Why Coding Is Solved, and What Comes Next",claude-code-ops ux-ui-design
"Anthropic's Daniela Amodei says entrepreneurs should go on vacation to road test potential cofounders—if they're a drain, they're 'the wrong choice'",startup
"Apologies, but something went wrong on our end.",non-content
"As agentic dev tools boom, workflow auditability becomes the constraint",observability ux-ui-design productivity
Auntie Webinar Recovery starts even before the vacation,
Automating e2e manual labor with Claude Code,claude-code-ops agent-testing
Awesome Local LLM Speech-to-Speech Models &amp; Frameworks,llm-fundamentals local-llm
Beck Design Rules,code-quality ux-ui-design
"Benchmarking semantic code retrieval on Claude Code — Kuba Rogut, Turbopuffer",spec-driven-dev claude-code-ops
Benefits of Using the C4 Model with Enterprise Architect (EA),
Best AI News Aggregators in 2026 7 Tools Compared,observability
Branschrapporten_2025.pdf,non-content
Breakthrough to Restore Aging Joints Could Help Treat Osteoarthritis,health
Building AI governance while building AI,ux-ui-design
Building Claude Code with Harness Engineering,harness-engineering claude-code-ops observability ux-ui-design
Built a multi-agent skill for Claude Code - routes tasks to 6 different AI models based on what each does best,multi-agent claude-code-ops agent-skills ux-ui-design
CLAUDE.md Writing Guide Context Engineering for AI CLI Tools,claude-md context-engineering spec-driven-dev agent-skills ux-ui-design
