file,tags
# Skill Issue Harness Engineering for Coding Agents,harness-engineering multi-agent agent-skills ux-ui-design
# Writing a good CLAUDE.md,claude-md spec-driven-dev
# a brief history of ralph,context-engineering spec-driven-dev agent-skills ux-ui-design productivity
(Recorded during Xian Goh's falling workshop during the,spec-driven-dev health
142 JavaScript Text Effects,ux-ui-design
15 steps to launch your own startup,agent-skills ux-ui-design startup
2.1 Write a PRD,spec-driven-dev
25 Claude Code Tips from 11 Months of Intense Use,spec-driven-dev claude-code-ops productivity
3 New Claude Code Repos Will 100x Your Next Project,token-efficiency claude-code-ops agent-skills observability ux-ui-design
4 Claude Code slash commands I use daily that make me more productive,claude-code-ops productivity
4 Inbox Zero Best Practices,productivity
5 Things I Learned About Being a Technical Lead,spec-driven-dev
5 ways of using Claude Code remotely - and when to use which,spec-driven-dev claude-code-ops
6 Best Spec-Driven Development Tools for AI Coding in 2026,spec-driven-dev ux-ui-design
7 Claude Code Design Skills That Follow a Real Design Process,claude-code-ops agent-skills ux-ui-design
7 Rules for Creating Gorgeous UI,agent-skills ux-ui-design
A Comprehensive Overview of Large Language Models,llm-fundamentals ux-ui-design
A Live Workshop That Teaches You How to Build A Future-Proof PKM System,ux-ui-design productivity pkm-obsidian
A framework for Spec-Driven Development.,spec-driven-dev agent-skills productivity
A roadmap for becoming a top 2% agentic engineer in 2026,multi-agent ux-ui-design
A wild month in the cyber industry,observability ux-ui-design
AI Sorcery Demo of a Claude Code Plugin,claude-code-ops agent-skills ux-ui-design
AIDesigner,ux-ui-design
AI's trillion-dollar opportunity Context graphs,context-engineering ux-ui-design startup
Adapter and Facade Patterns,ux-ui-design software-patterns
"After self-hosting LLMs for a year, I realized that models are not the real bottleneck",llm-fundamentals local-llm non-content
Agent Harness Engineering,harness-engineering non-content
Agentic AI Coding Best Practice Patterns for Speed with Quality,code-quality ux-ui-design software-patterns
"Agents on the Canvas in tldraw — Steve Ruiz, tldraw",agent-skills ux-ui-design
Amazon.com,non-content
An app that uses artificial intelligence to make money from trading has been released to the public - here's how much we managed to earn.,ai-industry
Andrej Karpathy From Vibe Coding to Agentic Engineering,ux-ui-design
Andrej Karpathy's Math Proves Agent Skills Will Fail. Here's What to Build Instead.,harness-engineering multi-agent spec-driven-dev agent-skills ux-ui-design productivity
"Anthropic's Boris Cherny Why Coding Is Solved, and What Comes Next",claude-code-ops ux-ui-design
"Anthropic's Daniela Amodei says entrepreneurs should go on vacation to road test potential cofounders—if they're a drain, they're 'the wrong choice'",startup
"Apologies, but something went wrong on our end.",non-content
"As agentic dev tools boom, workflow auditability becomes the constraint",observability ux-ui-design productivity
Auntie Webinar Recovery starts even before the vacation,productivity
Automating e2e manual labor with Claude Code,claude-code-ops agent-testing
Awesome Local LLM Speech-to-Speech Models &amp; Frameworks,llm-fundamentals local-llm
Beck Design Rules,code-quality ux-ui-design
"Benchmarking semantic code retrieval on Claude Code — Kuba Rogut, Turbopuffer",spec-driven-dev claude-code-ops
Benefits of Using the C4 Model with Enterprise Architect (EA),clean-architecture software-patterns
Best AI News Aggregators in 2026 7 Tools Compared,observability
Branschrapporten_2025.pdf,non-content
Breakthrough to Restore Aging Joints Could Help Treat Osteoarthritis,health
Building AI governance while building AI,ux-ui-design
Building Claude Code with Harness Engineering,harness-engineering claude-code-ops observability ux-ui-design
Built a multi-agent skill for Claude Code - routes tasks to 6 different AI models based on what each does best,multi-agent claude-code-ops agent-skills ux-ui-design
CLAUDE.md Writing Guide Context Engineering for AI CLI Tools,claude-md context-engineering spec-driven-dev agent-skills ux-ui-design
Can an AI learn cooking (And what it teaches us about building better agents),llm-fundamentals code-quality
Capabilities Mapping for Domain Driven Architecture,ddd clean-architecture
Change Data Capture (CDC),data-engineering
Claude + Obsidian + Graphify = New Meta,pkm-obsidian context-engineering token-efficiency
Claude + Remotion = Marketing Cheat Code,media-generation alt-agents
Claude Code 2026 The Daily Operating System Top Developers Actually Use,claude-code-ops harness-engineering
Claude Code Is Wasting 98% Of Your Tokens On Search. Here's The Fix.,token-efficiency cost-optimization code-intelligence
"Claude Code Just Killed $10,000 Websites (Here's Proof)",alt-agents cost-optimization
Claude Code Prompt Coach Skill to analyse your AI-Assisted Coding Skills,claude-code-ops agent-skills observability
Claude Code Skills Don't Auto-Activate (a workaround),claude-code-ops agent-skills
"Claude Code Skills, Plugins, and the JSONC Design Spec Trick That Changed My Workflow",claude-code-ops agent-skills frontend-webapp
Claude Code for Everything Keeping Up with the Claude Code Treadmill (30 Claude Code Tips & Tricks),claude-code-ops
Claude Code is Expensive. This MCP Server Fixes It (Context Mode),mcp token-efficiency cost-optimization
Claude Code's creator says his setup involves thousands of AI sub-agents doing 'deeper work' overnight,multi-agent harness-engineering
Claude HTML Slides = The NEW Powerpoint Killer (Full Tutorial),media-generation alt-agents
"Claude Oceanus, Anthropic AGI Claims, GPT-5.6 Checkpoint, GLM 5.2, Nemotron 3 Ultra & More\! AI NEWS\!",ai-industry llm-fundamentals
"Claude Saves Tokens, Forgets Everything",context-engineering token-efficiency comprehension-debt
Clean architecture folder structure · Issue #3 · eminettoclean-architecture-go-v2,clean-architecture software-patterns
Clock in your agents.,multi-agent harness-engineering dora-metrics
Computer use is 45x More Expensive Than Structured APIs,cost-optimization browser-automation
Connect to dbt Core,data-engineering
"Context Is the New Code — Patrick Debois, Tessl-2",context-engineering agent-skills code-quality
"Context Is the New Code — Patrick Debois, Tessl",context-engineering agent-skills
Create presentation,media-generation
Creating The Perfect Claude Code Status Line,claude-code-ops observability
Daily Driver Task Management System,productivity
Dashboards for OpenCode and Claude coding sessions,observability dora-metrics alt-agents
Data Democratization Embracing Trusted Data to Transform Your Business,mdm-governance
Data Mesh From an Engineering Perspective,data-engineering mdm-governance
Data democratization How data architecture can drive business decisions and AI initiatives,mdm-governance data-engineering
Deduplication as Part of MDM,mdm-governance data-engineering
Deterministic vs. Non-Deterministic LLMs What's the Difference,llm-fundamentals evals
"DeusDatacodebase-memory-mcp High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 66 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",mcp code-intelligence token-efficiency
Discover community-made UI components 21st,frontend-webapp ux-ui-design
Diving into Claude Code's Source Code Leak,web-security claude-code-ops
Domain Driven Design implemented by functional programming,ddd software-patterns
Domain-Driven Design (DDD) Explained for Business Analysts A Step-by-Step Guide,ddd product-management
Domain-Driven Design Tackling Complexity In The Heart Of Software,ddd clean-architecture software-patterns
Domain-Driven Design Use Case Improving A Life Insurance Selling Platform,ddd software-patterns
Don't Trust the Process,ux-ui-design product-management
Don't buy GPUs for AI,local-llm cost-optimization
Dribbble - Discover the World's Top Designers & Creative Professionals,ux-ui-design
E2e Test Framework,agent-testing code-quality
ESLint as AI Guardrails The Rules That Make AI Code Readable,code-quality harness-engineering
Effective Context Engineering for AI Agents,context-engineering harness-engineering
Every UIUX Concept Explained in Under 10 Minutes,ux-ui-design
Every idea needs a,non-content
Exhaustiveness Checking with Mypy,code-quality software-patterns
"Experimental Drug Can Reverse Osteoarthritis in Weeks, Animal Research Shows",health
Exploring Self-Healing Playwright Automation with AI — Looking for Suggestions,agent-testing code-quality
Falling Into The Pit of Success,software-patterns
Fallow The Code Intelligence Tool Every Claude User Needs,alt-agents code-intelligence code-quality
Fastlagsvägen 61,non-content
Flux A Kanban Board That Speaks MCP,harness-engineering mcp
"For Those Who Left Six-Figure Jobs to Become Real Estate Agents, Was It Worth It or Do You Regret It",real-estate
From RPI to QRSPI Rebuilding the First Structured Workflow for Coding Agents,harness-engineering spec-driven-dev
Getting Started With Ddd When Surrounded By Legacy Systems,clean-architecture ddd
Getting Started with Reader,pkm-obsidian
Git for agents (and humans).,agent-git cost-optimization observability
"GitHub - AgriciDanielclaude-seo Universal SEO skill for Claude Code. 25 sub-skills + 18 sub-agents covering technical SEO, E-E-A-T, schema, GEOAEO, backlinks, local SEO, maps intelligence, semantic clustering, e-commerce SEO, international SEO, Googl",agent-skills alt-agents
GitHub - AlexsJonesllmfit A way to justify buying a more powerful laptop (and see what LLM's will run),local-llm
"GitHub - EvolvingSoftwarescreen-pipe Record your screen & mic 247 and connect it to LLMs. Inspired by adept.ai, rewind.ai, Apple Shortcut. Written in Rust. Free. You own your data.",browser-automation
GitHub - HKUDSOpenHarness OpenHarness Open Agent Harness -- Ultra-Lightweight Claude Code · GitHub,alt-agents harness-engineering
GitHub - aiming-labAutoHarness AutoHarness Automated Harness Engineering for AI Agents · GitHub,cost-optimization harness-engineering
GitHub - arielb135claude-code-e2e-demo E2E testing demo using Claude Code as an autonomous test agent with Playwright · GitHub,agent-testing alt-agents
GitHub - bmad-code-orgBMAD-METHOD Breakthrough Method for Agile Ai Driven Development,multi-agent spec-driven-dev
"GitHub - dirac-rundirac Open Source Coding Agent singularly focused efficiency. Reduces API costs by 50-80% vs other agent AND improves the code quality at the same time. Uses Hash Anchored edits, massively parallel operations, AST manipulation and m",alt-agents code-quality cost-optimization
GitHub - emilybacheRacing-Car-Katas Several code katas on a racing car theme,software-patterns
GitHub - gitpod-iogitpod The developer platform for on-demand cloud development environments to create software faster and more securely.,claude-code-ops
GitHub - gsemetCraftsman Craftsman is an powerful generic coding Agent for GitHub Copilot. It provides a Plan agent that does extensive interview to understand the need and a Ralph implementation loop to implement most plan in a single premium reques,alt-agents spec-driven-dev
GitHub - hamelsmuevals-skills Skills for AI Evals to compliment the course AI Evals For Engineers & PMs · GitHub,agent-skills evals
"GitHub - jordan-gibbshyperresearch Agent-driven research knowledge base. Agents collect, search, and synthesize web research into a persistent, searchable wiki. · GitHub",agent-memory multi-agent
GitHub - keploykeploy Shadow Test generation for Developers. Generate tests and stubs for your application that actually work!,agent-testing
GitHub - middlewarehqmiddleware ✨ Open-source DORA metrics platform for engineering teams ✨,dora-metrics observability
"GitHub - mikaelvesavuorigithub-dora-metrics Instant, badge-ready DORA metrics for your GitHub repository. · GitHub",dora-metrics observability
GitHub - millioncoreact-doctor Let coding agents diagnose and fix your React code,alt-agents code-quality web-security
"GitHub - openaievals Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks.",evals
GitHub - sandromancusotrip-service-kata Kata for a legacy code hands-on session. The objective is to write tests and refactor the given legacy code.,software-patterns
GitHub - shep-aicli Multi-Session SDLC Control Center for AI Coding Agents · GitHub,alt-agents multi-agent
"Goodbye, VRAM Limits How to Run Massive LLMs Across Your GPUs 🚀",local-llm
Graphify + code-review-graph Build a Self-Updating Knowledge Graph for Claude Code and other AI Coding Agent,code-intelligence context-engineering
Graphify vs. code-review-graph Which is better for context-mapping across two very different large codebases,code-intelligence context-engineering
Hacker News,alt-agents code-quality
Harness engineering for coding agent users,harness-engineering
Harness engineering leveraging Codex in an agent-first world OpenAI,alt-agents harness-engineering
"Harnesses in AI A Deep Dive — Tejas Kumar, IBM",harness-engineering
Hexagonal Architecture A Complete Guide for Modern Software Design,clean-architecture software-patterns
Hexagonal Architecture The Secret to Scalable and Maintainable Code for Modern Software,clean-architecture software-patterns
Hip Pain while Approaching Climbs or Landing From Boulders,health
How Duolingo reignited user growth - by Jorge Mazal — How Duolingo reignited user growth,product-management
How I Built an AI Agent That Actually Gets Work Done,alt-agents harness-engineering
"How I Built an AI Documentation Engine with Tree-sitter, Claude AI, and RAG",agent-skills code-intelligence
How I Finally Sorted My Claude Code Memory #98,agent-memory claude-code-ops
How I Vibe Code Technical Videos With Claude Code and Remotion,alt-agents media-generation
How I plan my day with Obsidian Daily Notes,pkm-obsidian productivity
How I run customer interviews (and why they're better than analytics for 0-1),product-management
How We Organize Our Life in Notion Second Brain,pkm-obsidian productivity
